address,lon,lat
"21 REDMOND STREET, FERMOY, CORK",52.1347289,-8.2802144
"212 RIVER VILLAGE, MONKSLAND, ATHLONE",53.42376525,-7.990426252893536
"219 CUBES 7, BEACON SOUTH QUARTER, SANDYFORD DUBLIN 18",0,0
"22 LORD LEITRIM COURT, LOUGH RYNN, MOHILL",0,0
"22 PARKWOOD CLOSE, PARKLANDS ESTATE, COMMONS RD",0,0
"23 CARRIGDOWNS, CARRIGTWOHILL, CORK",0,0
"23 EDEN VILLAS, GLASTHULE, DUBLIN",53.28399315,-6.125971825817237
"23 FORSTER PLACE, FORSTER ST, GALWAY",53.2762362,-9.0450375
"24 CENTURY COURT, GEORGES ST UPPER, DUN LAOGHAIRE",0,0
"24 HILLSIDE, GREYSTONES, WICKLOW",53.1455483,-6.07007175
"24 maple Lane, Castlelake, Carrigtwohill",0,0
"25 GLENDOHER AVE, RATHFARNHAM, DUBLIN 14",53.28547685,-6.29014987854994
"26 GRAND CANAL CENTRAL, CANAL ROAD, LETTERKENNY",0,0
"26 LENNONSTOWN MANOR, DUNDALK, LOUTH",54.00414995,-6.3689198000000005
"26 QUARRY RD, CABRA, DUBLIN 7",53.3646434,-6.2883302
"26 ROS NA RI, COMMONS RD, NAVAN",0,0
"26 WINDSOR COURT, CASTLETROY VIEW, LIMERICK",0,0
"27 TULLYGLASS CRESENT, SHANNON, CLARE",0,0
"3  Silverstream Park, Silverstream Road, Kilbreckstown  Stamullen",0,0
"3 AN TEARMAN, BALLYHEA, DINGLE",0,0
"3 BEECH GROVE, CASTLEPARK, ST JOSEPHS RD",0,0
"3 Chapel Lane, Skerries",53.5786907,-6.1071485
"3 FIREHOUSE LANE, KILDARE, KILDARE",0,0
"3 Knocklyon Road, Templeogue, Dublin 16",53.2906823,-6.3111706
"3 MILLBANK GLEN, DROMAHAIR, LEITRIM",54.2329963,-8.3044789
"3 WALNUT CLOSE, FOXBURROW, PORTLAOISE",53.03589,-7.2694923
"30 MILLBRIDGE AVENUE, NAAS, KILDARE",0,0
"31 The Green  Meadowvale, Arklow",52.7864945,-6.173246085968332
"314 SOUTH CIRCULAR ROAD, DUBLIN 8",53.332567600000004,-6.287443274798832
"32 ATLANTIC VIEW, CASTLEFIELD, KILKEE",0,0
